id,konsep_A,konsep_B,pasangan_mapel,relasi,cosine,rank_A->B,rank_B->A,best_rank,computable,t85_k5,t80_k10,t75_k15,t70_k20,valid,type_ok,direction
LB001,DNA (Asam 2-Deoksiribonukleat),Penyuntingan Genom (Genome Editing),Biologi <-> Kimia,PRASYARAT_UNTUK,0.693,31,15,15,True,False,False,True,True,Ya,Benar,Benar
LB002,Gugus Fungsi,Holoenzim,Biologi <-> Kimia,PRASYARAT_UNTUK,0.674,103,13,13,True,False,False,True,True,Ya,Benar,Benar
LB003,Energi Aktivasi,Fungsi Kerja Logam (W0),Biologi <-> Fisika,BERKAITAN_DENGAN,0.6959,20,21,20,True,False,False,False,True,Ya,Benar,Benar
LB004,Protein,Translasi,Biologi <-> Kimia,MEMPERDALAM,0.7005,27,4,4,True,True,True,True,True,Ya,Benar,Terbalik
LB005,Potensial Elektrode,muatan kapasitor keping sejajar dan hubungan medan dan potensial listrik pelat paralel,Fisika <-> Kimia,APLIKASI_DARI,,,,,False,False,False,False,False,Tidak,Benar,Benar
LB006,Elektrode,Fosforilasi Oksidatif,Biologi <-> Kimia,MEMPERDALAM,0.6699,47,11,11,True,False,False,True,True,Ya,Benar,Benar
LB007,Respirasi Seluler,Sel Volta,Biologi <-> Kimia,MEMPERDALAM,0.6712,18,58,18,True,False,False,False,True,Ya,Benar,Benar
LB008,alat ukur listrik,ggl sel,Fisika <-> Kimia,PRASYARAT_UNTUK,,,,,False,False,False,False,False,Ya,Salah,Benar
LB009,DNA (Asam 2-Deoksiribonukleat),Kromosom,Biologi <-> Kimia,PRASYARAT_UNTUK,0.7868,5,2,2,True,True,True,True,True,Ya,Benar,Benar
LB010,Polimer Sintetik,Sintesis Protein,Biologi <-> Kimia,BERKAITAN_DENGAN,0.6996,39,18,18,True,False,False,False,True,Ya,Benar,Benar
LB011,Fosforilasi Oksidatif,Reaksi Reduksi Senyawa Organik,Biologi <-> Kimia,MEMPERDALAM,0.661,14,92,14,True,False,False,True,True,Ya,Benar,Benar
LB012,Asam Amino,Translasi,Biologi <-> Kimia,PRASYARAT_UNTUK,0.7003,35,5,5,True,True,True,True,True,Ya,Benar,Benar
LB013,Elektrode Hidrogen Standar,Potensial Listrik,Fisika <-> Kimia,APLIKASI_DARI,0.7182,20,31,20,True,False,False,False,True,Ya,Benar,Benar
LB014,Potensial Listrik,Reaksi Elektrokimia,Fisika <-> Kimia,MEMPERDALAM,0.7516,15,23,15,True,False,False,True,True,Ya,Benar,Benar
LB015,Fosforilasi Oksidatif,Reduksi,Biologi <-> Kimia,PRASYARAT_UNTUK,0.6571,20,111,20,True,False,False,False,True,Ya,Benar,Terbalik
LB016,Potensial Listrik,Sel Volta,Fisika <-> Kimia,MEMPERDALAM,0.7388,22,15,15,True,False,False,True,True,Ya,Benar,Benar
LB017,Hukum II Kirchhoff (Hukum Tegangan Kirchhoff),ggl sel,Fisika <-> Kimia,PRASYARAT_UNTUK,,,,,False,False,False,False,False,Ya,Benar,Benar
LB018,Monomer,Translasi,Biologi <-> Kimia,PRASYARAT_UNTUK,0.6574,124,16,16,True,False,False,False,True,Ya,Benar,Benar
LB019,Bilangan Oksidasi,Fosforilasi Oksidatif,Biologi <-> Kimia,PRASYARAT_UNTUK,0.6735,94,10,10,True,False,True,True,True,Ya,Benar,Benar
LB020,Enzim,Gugus Fungsi,Biologi <-> Kimia,PRASYARAT_UNTUK,0.707,19,45,19,True,False,False,False,True,Ya,Benar,Terbalik
LB021,Fotoelektron,Fotosintesis,Biologi <-> Fisika,BERKAITAN_DENGAN,0.681,42,16,16,True,False,False,False,True,Ya,Benar,Benar
LB022,Fungsi Kerja Logam (W0),Pelapisan Logam (Electroplating),Fisika <-> Kimia,BERKAITAN_DENGAN,0.7101,12,30,12,True,False,False,True,True,Ya,Benar,Benar
LB023,Nukleotida,Translasi,Biologi <-> Kimia,PRASYARAT_UNTUK,0.6924,17,7,7,True,False,True,True,True,Ya,Benar,Benar
LB024,DNA (Asam 2-Deoksiribonukleat),Replikasi DNA,Biologi <-> Kimia,MEMPERDALAM,0.7533,6,3,3,True,True,True,True,True,Ya,Benar,Benar
LB025,Holoenzim,Koagulasi,Biologi <-> Kimia,MEMPERDALAM,0.6644,17,70,17,True,False,False,False,True,Ya,Benar,Benar
LB026,Potensial Elektrode Standar,Potensial Listrik,Fisika <-> Kimia,APLIKASI_DARI,0.7601,8,9,8,True,False,True,True,True,Ya,Benar,Benar
LB027,Biodegradable Plastic,Biodegradasi,Biologi <-> Kimia,APLIKASI_DARI,0.753,10,7,7,True,False,True,True,True,Ya,Benar,Benar
LB028,Sistem Elektronika,sel elektrokimia,Fisika <-> Kimia,BERKAITAN_DENGAN,,,,,False,False,False,False,False,Ya,Benar,Benar
LB029,DNA (Asam 2-Deoksiribonukleat),Mitosis,Biologi <-> Kimia,PRASYARAT_UNTUK,0.6896,38,15,15,True,False,False,True,True,Ya,Benar,Benar
LB030,Energi Aktivasi,Reaksi Elektrokimia,Biologi <-> Kimia,PRASYARAT_UNTUK,0.7372,6,30,6,True,False,True,True,True,Ya,Benar,Benar
LB031,DNA (Deoxyribonucleic Acid),Nukleotida,Biologi <-> Kimia,APLIKASI_DARI,0.7868,4,2,2,True,True,True,True,True,Ya,Benar,Benar
LB032,Polimer,Translasi,Biologi <-> Kimia,PRASYARAT_UNTUK,0.6554,177,21,21,True,False,False,False,False,Ya,Benar,Benar
LB033,Fosforilasi Oksidatif,Reaksi Redoks,Biologi <-> Kimia,PRASYARAT_UNTUK,0.679,8,79,8,True,False,True,True,True,Ya,Benar,Terbalik
LB034,Enzim,Protein,Biologi <-> Kimia,APLIKASI_DARI,0.7347,8,11,8,True,False,True,True,True,Ya,Benar,Benar
LB035,Asam Amino,Kode Genetik,Biologi <-> Kimia,PRASYARAT_UNTUK,0.713,18,8,8,True,False,True,True,True,Ya,Benar,Benar
LB036,Fosforilasi Oksidatif,Reaksi Oksidasi Senyawa Organik,Biologi <-> Kimia,MEMPERDALAM,0.6831,6,43,6,True,False,True,True,True,Ya,Benar,Terbalik
LB037,DNA (Asam 2-Deoksiribonukleat),Kode Genetik,Biologi <-> Kimia,PRASYARAT_UNTUK,0.7036,25,10,10,True,False,True,True,True,Ya,Benar,Benar
LB038,Hidrokarbon,Teori Evolusi Kimia,Biologi <-> Kimia,PRASYARAT_UNTUK,0.6884,47,18,18,True,False,False,False,True,Ya,Benar,Benar
LB039,DNA (Asam 2-Deoksiribonukleat),Enzim,Biologi <-> Kimia,BERKAITAN_DENGAN,0.7135,20,15,15,True,False,False,True,True,Ya,Benar,Benar
LB040,Enzim Fermentasi,Protein,Biologi <-> Kimia,PRASYARAT_UNTUK,0.6864,11,44,11,True,False,False,True,True,Ya,Benar,Terbalik
LB041,Inhibitor Enzim,Isomer,Biologi <-> Kimia,PRASYARAT_UNTUK,0.6664,17,122,17,True,False,False,False,True,Ya,Benar,Terbalik
LB042,Kode Genetik,Protein,Biologi <-> Kimia,PRASYARAT_UNTUK,0.6932,12,37,12,True,False,False,True,True,Ya,Benar,Benar
